epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,12362.9,0.6216,0.38437,0.84044,0.97142,0.96835,0.99173,0.90063,0.46976,0.29337,0.80154,0.00618143,0.00618143,0.00618143
137,12387.3,0.61252,0.37951,0.83859,0.96613,0.96972,0.98749,0.89009,0.485,0.2983,0.80372,0.00615314,0.00615314,0.00615314
138,12408.8,0.59502,0.36744,0.8401,0.97346,0.95848,0.98744,0.90088,0.46344,0.29096,0.80154,0.00612486,0.00612486,0.00612486
139,12426.1,0.62621,0.38135,0.83879,0.95272,0.93339,0.9764,0.88401,0.4683,0.3199,0.80175,0.00609657,0.00609657,0.00609657
140,12450.6,0.59312,0.376,0.83562,0.95845,0.96241,0.98664,0.89854,0.45522,0.29889,0.79991,0.00606829,0.00606829,0.00606829
141,12465.9,0.60702,0.386,0.83781,0.96713,0.9829,0.99179,0.90524,0.4567,0.28337,0.80143,0.00604,0.00604,0.00604
142,12491,0.59521,0.37281,0.83598,0.9798,0.97065,0.98976,0.89775,0.45814,0.28718,0.80167,0.00601171,0.00601171,0.00601171
143,12506.9,0.5928,0.36784,0.83632,0.98132,0.9552,0.98961,0.90048,0.45701,0.28397,0.80153,0.00598343,0.00598343,0.00598343
144,12530.7,0.61264,0.37427,0.83837,0.96924,0.97979,0.99021,0.897,0.47066,0.2894,0.80469,0.00595514,0.00595514,0.00595514
145,12550.8,0.61202,0.3765,0.83731,0.95562,0.9606,0.98404,0.8942,0.46141,0.29814,0.80033,0.00592686,0.00592686,0.00592686
146,12567,0.60618,0.36966,0.83755,0.97821,0.97754,0.9915,0.9036,0.45437,0.2795,0.79943,0.00589857,0.00589857,0.00589857
147,12594.3,0.59211,0.36341,0.83298,0.96864,0.98302,0.99216,0.90561,0.46244,0.27801,0.80049,0.00587029,0.00587029,0.00587029
148,12611,0.58152,0.35866,0.83161,0.96342,0.93197,0.98038,0.89719,0.45137,0.29781,0.79845,0.005842,0.005842,0.005842
149,12632.9,0.58792,0.35932,0.83094,0.9864,0.97904,0.99207,0.90956,0.43926,0.26762,0.79738,0.00581371,0.00581371,0.00581371
150,12661.1,0.59436,0.36527,0.83442,0.97132,0.96149,0.99123,0.89267,0.48127,0.29087,0.80424,0.00578543,0.00578543,0.00578543
151,12678.9,0.60336,0.37234,0.83686,0.96687,0.95668,0.98551,0.89136,0.46843,0.3034,0.80276,0.00575714,0.00575714,0.00575714
152,12698.5,0.60671,0.36751,0.83313,0.97364,0.97735,0.99138,0.89361,0.48429,0.29268,0.80388,0.00572886,0.00572886,0.00572886
153,12720.7,0.59228,0.36555,0.83515,0.97642,0.97886,0.99199,0.90555,0.46477,0.28126,0.79987,0.00570057,0.00570057,0.00570057
154,12737.7,0.58511,0.36167,0.83197,0.9801,0.97643,0.992,0.90464,0.46086,0.28159,0.79948,0.00567229,0.00567229,0.00567229
155,12755.4,0.59359,0.36167,0.8328,0.98009,0.97887,0.9925,0.90205,0.47246,0.27872,0.8006,0.005644,0.005644,0.005644
156,12771,0.5747,0.35776,0.83135,0.96298,0.95391,0.98511,0.89876,0.45405,0.2912,0.79978,0.00561571,0.00561571,0.00561571
157,12800.2,0.57366,0.34798,0.83079,0.97917,0.96488,0.98925,0.90046,0.45062,0.28018,0.79973,0.00558743,0.00558743,0.00558743
158,12821.3,0.59812,0.36399,0.83646,0.97479,0.97377,0.98906,0.89975,0.46102,0.27675,0.80184,0.00555914,0.00555914,0.00555914
159,12843.5,0.5925,0.35988,0.83469,0.97159,0.96768,0.98884,0.9009,0.47552,0.28277,0.8018,0.00553086,0.00553086,0.00553086
160,12864.2,0.61003,0.36914,0.83743,0.97802,0.95746,0.98607,0.89087,0.4717,0.29633,0.8023,0.00550257,0.00550257,0.00550257
161,12888,0.60033,0.36895,0.83473,0.96803,0.97569,0.988,0.90131,0.45559,0.28858,0.80039,0.00547429,0.00547429,0.00547429
162,12911.2,0.60666,0.37321,0.83972,0.97976,0.98144,0.99139,0.90924,0.44898,0.27434,0.79913,0.005446,0.005446,0.005446
163,12926.4,0.58452,0.35749,0.8318,0.98543,0.97679,0.99184,0.9031,0.45814,0.27668,0.79886,0.00541771,0.00541771,0.00541771
164,12953.7,0.57751,0.35167,0.82991,0.94552,0.95636,0.98215,0.90075,0.44547,0.29487,0.79814,0.00538943,0.00538943,0.00538943
165,12973.3,0.57368,0.34687,0.83002,0.98378,0.96844,0.99264,0.90778,0.45899,0.27572,0.80055,0.00536114,0.00536114,0.00536114
166,12992,0.5787,0.35489,0.83228,0.98136,0.97957,0.99183,0.909,0.46039,0.28087,0.7998,0.00533286,0.00533286,0.00533286
167,13008.4,0.59132,0.35529,0.82986,0.9719,0.98714,0.99314,0.90635,0.46664,0.27921,0.80058,0.00530457,0.00530457,0.00530457
168,13028,0.57508,0.35062,0.8347,0.98613,0.97665,0.99253,0.91095,0.44276,0.2641,0.79804,0.00527629,0.00527629,0.00527629
169,13050.9,0.57456,0.3467,0.82842,0.97815,0.94366,0.98643,0.8895,0.48423,0.29282,0.80343,0.005248,0.005248,0.005248
170,13072.2,0.58135,0.35161,0.83232,0.98457,0.98282,0.99087,0.90602,0.44987,0.26798,0.79965,0.00521971,0.00521971,0.00521971
171,13097.9,0.56288,0.34515,0.83082,0.97407,0.97641,0.98933,0.90477,0.45162,0.27686,0.7986,0.00519143,0.00519143,0.00519143
172,13122.5,0.56146,0.34474,0.82921,0.95405,0.96054,0.98482,0.89564,0.45931,0.29624,0.79768,0.00516314,0.00516314,0.00516314
173,13139.5,0.58586,0.35536,0.83315,0.9761,0.97921,0.9917,0.9021,0.45258,0.27412,0.79816,0.00513486,0.00513486,0.00513486
174,13160.3,0.56958,0.35011,0.83194,0.97599,0.96192,0.98471,0.89899,0.44881,0.28537,0.79841,0.00510657,0.00510657,0.00510657
175,13175.6,0.57926,0.35031,0.82968,0.97733,0.96708,0.99022,0.90335,0.45446,0.27172,0.79968,0.00507829,0.00507829,0.00507829
176,13193.3,0.56514,0.34206,0.83102,0.98432,0.96962,0.98972,0.90798,0.45237,0.27629,0.79888,0.00505,0.00505,0.00505
177,13218.6,0.58263,0.35296,0.82943,0.98218,0.97587,0.99256,0.90849,0.44862,0.27293,0.79854,0.00502171,0.00502171,0.00502171
178,13234.7,0.56114,0.34045,0.82993,0.98206,0.97416,0.99108,0.9044,0.45142,0.2713,0.79998,0.00499343,0.00499343,0.00499343
179,13263.3,0.56495,0.33885,0.8257,0.94664,0.95276,0.97921,0.891,0.45563,0.30616,0.79854,0.00496514,0.00496514,0.00496514
180,13277.7,0.56609,0.33847,0.8296,0.97289,0.96713,0.98811,0.90171,0.44725,0.27861,0.79712,0.00493686,0.00493686,0.00493686
181,13304,0.56039,0.33946,0.82762,0.98367,0.98127,0.99197,0.90942,0.44415,0.26393,0.79743,0.00490857,0.00490857,0.00490857
182,13322,0.56916,0.3424,0.82645,0.97986,0.96395,0.99037,0.90062,0.45806,0.28771,0.79981,0.00488029,0.00488029,0.00488029
183,13348.2,0.5577,0.34283,0.8282,0.9828,0.97762,0.99182,0.9083,0.44879,0.27114,0.7991,0.004852,0.004852,0.004852
