epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1132.78,0.37869,0.26474,0.79755,0.9951,0.99629,0.9949,0.86997,0.6037,0.26551,0.82461,0.00917296,0.00917296,0.00917296
86,1146.08,0.37404,0.26125,0.79764,0.99505,0.99186,0.99479,0.85838,0.62269,0.28096,0.82772,0.00915374,0.00915374,0.00915374
87,1159.53,0.36934,0.26175,0.79349,0.99517,0.9939,0.99478,0.86147,0.6415,0.27689,0.82901,0.00913431,0.00913431,0.00913431
88,1172.71,0.36991,0.25886,0.79679,0.99526,0.9954,0.99468,0.86628,0.61775,0.27605,0.82758,0.00911469,0.00911469,0.00911469
89,1186.11,0.36937,0.26047,0.79657,0.99374,0.9955,0.99465,0.87246,0.58902,0.27224,0.82384,0.00909487,0.00909487,0.00909487
90,1199.5,0.36786,0.25932,0.79465,0.99731,0.99447,0.99488,0.86927,0.61247,0.26688,0.82542,0.00907485,0.00907485,0.00907485
91,1212.84,0.36377,0.2533,0.79372,0.99616,0.99436,0.99482,0.87291,0.58675,0.2635,0.82274,0.00905463,0.00905463,0.00905463
92,1226.35,0.36264,0.25131,0.79397,0.99627,0.99681,0.99491,0.86357,0.63355,0.27356,0.83003,0.00903422,0.00903422,0.00903422
93,1239.96,0.37387,0.25518,0.79656,0.99671,0.99357,0.99486,0.87627,0.56884,0.26152,0.81902,0.00901362,0.00901362,0.00901362
94,1253.8,0.36566,0.25339,0.7948,0.99424,0.99675,0.99486,0.86536,0.62677,0.26762,0.82754,0.00899282,0.00899282,0.00899282
95,1266.96,0.36311,0.24924,0.7945,0.99351,0.99254,0.99467,0.86767,0.59854,0.26713,0.82458,0.00897183,0.00897183,0.00897183
96,1280.08,0.35825,0.25066,0.79299,0.98031,0.98168,0.99274,0.85798,0.6368,0.29085,0.83056,0.00895065,0.00895065,0.00895065
97,1293.43,0.3658,0.25391,0.79622,0.99747,0.99416,0.99484,0.86817,0.61002,0.26557,0.82613,0.00892928,0.00892928,0.00892928
98,1306.68,0.36397,0.2555,0.79376,0.99595,0.99418,0.99483,0.8643,0.63863,0.27503,0.82914,0.00890772,0.00890772,0.00890772
99,1320.21,0.36004,0.25269,0.79509,0.99425,0.9931,0.99472,0.87475,0.5916,0.26537,0.82332,0.00888598,0.00888598,0.00888598
100,1333.49,0.36298,0.25503,0.7923,0.99569,0.99379,0.99476,0.87124,0.61571,0.27181,0.82536,0.00886404,0.00886404,0.00886404
101,1346.94,0.35795,0.25195,0.79444,0.99732,0.99213,0.99484,0.85816,0.65655,0.27333,0.83293,0.00884192,0.00884192,0.00884192
102,1360.05,0.35649,0.25074,0.79525,0.99662,0.99515,0.99474,0.86718,0.6274,0.26904,0.82775,0.00881961,0.00881961,0.00881961
103,1373.24,0.35166,0.24413,0.79293,0.99513,0.99385,0.99489,0.85927,0.66576,0.27623,0.83391,0.00879713,0.00879713,0.00879713
104,1386.53,0.35421,0.24712,0.79339,0.99475,0.99409,0.99489,0.86808,0.61574,0.26514,0.82555,0.00877445,0.00877445,0.00877445
105,1399.62,0.35089,0.24208,0.79198,0.99643,0.99584,0.99488,0.85701,0.65798,0.27201,0.83136,0.0087516,0.0087516,0.0087516
106,1412.92,0.35137,0.24571,0.79204,0.99668,0.99412,0.9948,0.86444,0.62584,0.26748,0.82798,0.00872857,0.00872857,0.00872857
107,1426.03,0.3628,0.25201,0.79296,0.99631,0.99656,0.99484,0.86682,0.60684,0.25965,0.82634,0.00870535,0.00870535,0.00870535
108,1439.01,0.36121,0.25186,0.79386,0.99676,0.99456,0.99497,0.87896,0.5826,0.25165,0.81974,0.00868196,0.00868196,0.00868196
109,1452.36,0.34808,0.24222,0.79322,0.99607,0.99631,0.99487,0.8665,0.62011,0.25939,0.82661,0.00865839,0.00865839,0.00865839
110,1465.44,0.36118,0.24775,0.7931,0.9956,0.99632,0.99487,0.86588,0.63158,0.26411,0.82783,0.00863465,0.00863465,0.00863465
111,1478.74,0.34506,0.23985,0.7897,0.99153,0.98868,0.9946,0.85386,0.67023,0.28036,0.83458,0.00861073,0.00861073,0.00861073
112,1491.75,0.35124,0.24455,0.79189,0.99615,0.99625,0.99491,0.86875,0.60866,0.25965,0.82413,0.00858664,0.00858664,0.00858664
113,1504.97,0.34685,0.24175,0.79235,0.99384,0.99743,0.995,0.86471,0.64332,0.26754,0.82942,0.00856238,0.00856238,0.00856238
114,1517.93,0.34768,0.24123,0.79111,0.99365,0.99552,0.9949,0.86597,0.61912,0.26214,0.82655,0.00853794,0.00853794,0.00853794
115,1531.03,0.35293,0.24391,0.79317,0.99803,0.9964,0.99496,0.8639,0.62112,0.26669,0.82619,0.00851333,0.00851333,0.00851333
116,1544.4,0.3682,0.24983,0.7925,0.99832,0.99648,0.99494,0.86875,0.61794,0.26062,0.82599,0.00848856,0.00848856,0.00848856
117,1557.52,0.35399,0.24378,0.79383,0.99759,0.99507,0.99479,0.87869,0.57958,0.25288,0.81973,0.00846362,0.00846362,0.00846362
118,1570.83,0.34647,0.23898,0.79113,0.99628,0.99582,0.9949,0.86126,0.63764,0.26274,0.8287,0.00843851,0.00843851,0.00843851
