epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,571.738,0.69305,0.45198,0.85686,0.94659,0.90494,0.96461,0.8499,0.52626,0.35519,0.81409,0.00705829,0.00705829,0.00705829
106,577.079,0.69866,0.46157,0.85796,0.97634,0.93234,0.98692,0.8837,0.49074,0.32678,0.80861,0.00703,0.00703,0.00703
107,582.551,0.67652,0.44782,0.85692,0.96327,0.94353,0.98474,0.87699,0.51213,0.33554,0.81116,0.00700171,0.00700171,0.00700171
108,587.856,0.66748,0.45025,0.85448,0.95591,0.94104,0.98554,0.8817,0.49854,0.32912,0.80997,0.00697343,0.00697343,0.00697343
109,593.25,0.66409,0.43653,0.8521,0.97813,0.94714,0.98671,0.88659,0.4805,0.3105,0.80543,0.00694514,0.00694514,0.00694514
110,598.611,0.66255,0.43421,0.8534,0.97249,0.95708,0.98745,0.88523,0.5043,0.31705,0.80845,0.00691686,0.00691686,0.00691686
111,604.016,0.66267,0.43806,0.85106,0.96519,0.95911,0.98762,0.89335,0.47363,0.30509,0.80459,0.00688857,0.00688857,0.00688857
112,609.482,0.67174,0.44179,0.85227,0.95375,0.94625,0.98368,0.87337,0.51637,0.34115,0.81059,0.00686029,0.00686029,0.00686029
113,614.887,0.66749,0.43843,0.85068,0.87501,0.90725,0.95127,0.85712,0.48142,0.37864,0.80501,0.006832,0.006832,0.006832
114,620.242,0.65609,0.43161,0.85185,0.88486,0.89493,0.94338,0.83227,0.50832,0.40153,0.81037,0.00680371,0.00680371,0.00680371
115,625.585,0.66043,0.4405,0.85211,0.93693,0.93151,0.97226,0.86368,0.50222,0.35227,0.80832,0.00677543,0.00677543,0.00677543
116,630.982,0.66284,0.43606,0.84955,0.96735,0.96808,0.98654,0.88367,0.49248,0.31552,0.80637,0.00674714,0.00674714,0.00674714
117,636.349,0.66613,0.43917,0.85453,0.96102,0.96438,0.98667,0.89101,0.47674,0.31196,0.80534,0.00671886,0.00671886,0.00671886
118,641.8,0.67811,0.44377,0.85279,0.9602,0.95899,0.98639,0.87753,0.51002,0.32686,0.80787,0.00669057,0.00669057,0.00669057
119,647.216,0.67283,0.43856,0.84957,0.96631,0.93058,0.9857,0.87421,0.5076,0.33478,0.80941,0.00666229,0.00666229,0.00666229
120,652.562,0.67987,0.44152,0.85357,0.97472,0.95625,0.98632,0.8854,0.49361,0.32074,0.80634,0.006634,0.006634,0.006634
121,657.946,0.68094,0.43803,0.85421,0.92785,0.90401,0.96295,0.85928,0.4768,0.35279,0.80507,0.00660571,0.00660571,0.00660571
122,663.307,0.63841,0.41633,0.84922,0.9362,0.95526,0.98215,0.87982,0.48133,0.32563,0.80642,0.00657743,0.00657743,0.00657743
123,668.655,0.65009,0.43163,0.85258,0.96006,0.95717,0.98715,0.89001,0.4786,0.31566,0.80489,0.00654914,0.00654914,0.00654914
124,674.15,0.63886,0.42212,0.84811,0.96046,0.95628,0.98753,0.89012,0.48857,0.31079,0.80538,0.00652086,0.00652086,0.00652086
125,679.519,0.6497,0.42585,0.8495,0.97455,0.95321,0.98743,0.89519,0.46945,0.30397,0.80288,0.00649257,0.00649257,0.00649257
